 INFO  Accepting connections at http://localhost:8080
 HTTP  21/8/2026 4:57:10 p. m. ::1 GET /assets/images/img_0488_1.webp
 HTTP  21/8/2026 4:57:10 p. m. ::1 Returned 304 in 0 ms
 HTTP  21/8/2026 4:57:10 p. m. ::1 Returned 304 in 1 ms
 HTTP  21/8/2026 4:57:10 p. m. ::1 GET /assets/images/imgl5533_1.webp
 HTTP  21/8/2026 4:57:10 p. m. ::1 Returned 304 in 0 ms
 HTTP  21/8/2026 4:57:10 p. m. ::1 GET /assets/images/whatsapp_image_2026_08_04_at_4_43_53_pm_1_1.webp
 HTTP  21/8/2026 4:57:10 p. m. ::1 GET /assets/images/whatsapp_image_2026_08_04_at_4_43_53_pm_4_1.webp
 HTTP  21/8/2026 4:57:10 p. m. ::1 Returned 304 in 1 ms
 HTTP  21/8/2026 4:57:10 p. m. ::1 Returned 304 in 1 ms
 HTTP  21/8/2026 4:57:10 p. m. ::1 GET /assets/images/imgl2689_1_1.webp
 HTTP  21/8/2026 4:57:10 p. m. ::1 GET /assets/images/img_0528_jpg_1.webp
 HTTP  21/8/2026 4:57:10 p. m. ::1 GET /assets/images/whatsapp_image_2026_08_04_at_4_43_52_pm_2_1.webp
 HTTP  21/8/2026 4:57:10 p. m. ::1 Returned 304 in 1 ms
 HTTP  21/8/2026 4:57:10 p. m. ::1 Returned 304 in 1 ms
 HTTP  21/8/2026 4:57:10 p. m. ::1 Returned 304 in 1 ms
 HTTP  21/8/2026 4:57:16 p. m. ::1 GET /images/zancos-robot.jpg
 HTTP  21/8/2026 4:57:16 p. m. ::1 Returned 304 in 1 ms
 HTTP  21/8/2026 4:57:18 p. m. ::1 GET /images/gogo.jpg
 HTTP  21/8/2026 4:57:18 p. m. ::1 Returned 304 in 1 ms
 HTTP  21/8/2026 4:57:19 p. m. ::1 GET /images/fuego.jpg
 HTTP  21/8/2026 4:57:19 p. m. ::1 Returned 304 in 1 ms
 HTTP  21/8/2026 4:58:20 p. m. ::1 GET /images/zancos-robot.jpg
 HTTP  21/8/2026 4:58:20 p. m. ::1 Returned 304 in 1 ms
 HTTP  21/8/2026 4:58:26 p. m. ::1 GET /images/gogo.jpg
 HTTP  21/8/2026 4:58:26 p. m. ::1 Returned 304 in 1 ms
 HTTP  21/8/2026 4:58:32 p. m. ::1 GET /images/fuego.jpg
 HTTP  21/8/2026 4:58:32 p. m. ::1 Returned 304 in 1 ms
 HTTP  21/8/2026 4:58:56 p. m. ::1 GET /images/fuego.jpg
 HTTP  21/8/2026 4:58:56 p. m. ::1 Returned 304 in 2 ms
 HTTP  21/8/2026 4:58:56 p. m. ::1 GET /index.html
 HTTP  21/8/2026 4:58:56 p. m. ::1 Returned 301 in 0 ms
 HTTP  21/8/2026 4:58:56 p. m. ::1 GET /index
 HTTP  21/8/2026 4:58:56 p. m. ::1 Returned 301 in 1 ms
 HTTP  21/8/2026 4:58:56 p. m. ::1 GET /
 HTTP  21/8/2026 4:58:56 p. m. ::1 Returned 200 in 0 ms
 HTTP  21/8/2026 4:59:02 p. m. ::1 GET /images/salsa.jpg
 HTTP  21/8/2026 4:59:02 p. m. ::1 Returned 304 in 0 ms
 HTTP  21/8/2026 4:59:06 p. m. ::1 GET /
 HTTP  21/8/2026 4:59:06 p. m. ::1 Returned 200 in 1 ms
 HTTP  21/8/2026 4:59:06 p. m. ::1 GET /styles.css
 HTTP  21/8/2026 4:59:06 p. m. ::1 Returned 200 in 2 ms
 HTTP  21/8/2026 4:59:06 p. m. ::1 GET /i18n.js
 HTTP  21/8/2026 4:59:06 p. m. ::1 GET /carousel.js
 HTTP  21/8/2026 4:59:06 p. m. ::1 GET /intro.js
 HTTP  21/8/2026 4:59:06 p. m. ::1 GET /experiences.js
 HTTP  21/8/2026 4:59:06 p. m. ::1 GET /sections.js
 HTTP  21/8/2026 4:59:06 p. m. ::1 GET /assets/Logo-negro.svg
 HTTP  21/8/2026 4:59:06 p. m. ::1 Returned 200 in 1 ms
 HTTP  21/8/2026 4:59:06 p. m. ::1 Returned 200 in 1 ms
 HTTP  21/8/2026 4:59:06 p. m. ::1 Returned 200 in 1 ms
 HTTP  21/8/2026 4:59:06 p. m. ::1 Returned 200 in 1 ms
 HTTP  21/8/2026 4:59:06 p. m. ::1 Returned 200 in 1 ms
 HTTP  21/8/2026 4:59:06 p. m. ::1 Returned 200 in 2 ms
 HTTP  21/8/2026 4:59:06 p. m. ::1 GET /assets/Logo-blanco.svg
 HTTP  21/8/2026 4:59:06 p. m. ::1 Returned 200 in 1 ms
 HTTP  21/8/2026 4:59:06 p. m. ::1 GET /images/belly-dance.jpg
 HTTP  21/8/2026 4:59:06 p. m. ::1 Returned 200 in 0 ms
 HTTP  21/8/2026 4:59:06 p. m. ::1 GET /images/fuego.jpg
 HTTP  21/8/2026 4:59:06 p. m. ::1 GET /images/garotas.jpg
 HTTP  21/8/2026 4:59:06 p. m. ::1 GET /images/gogo.jpg
 HTTP  21/8/2026 4:59:06 p. m. ::1 GET /images/salsa.jpg
 HTTP  21/8/2026 4:59:06 p. m. ::1 Returned 200 in 1 ms
 HTTP  21/8/2026 4:59:06 p. m. ::1 Returned 200 in 1 ms
 HTTP  21/8/2026 4:59:06 p. m. ::1 Returned 200 in 2 ms
 HTTP  21/8/2026 4:59:06 p. m. ::1 Returned 200 in 1 ms
 HTTP  21/8/2026 4:59:06 p. m. ::1 GET /images/zancos-robot.jpg
 HTTP  21/8/2026 4:59:06 p. m. ::1 Returned 200 in 1 ms
 HTTP  21/8/2026 4:59:06 p. m. ::1 GET /assets/simbolo-blanco.svg
 HTTP  21/8/2026 4:59:06 p. m. ::1 Returned 200 in 1 ms
 HTTP  21/8/2026 4:59:07 p. m. ::1 GET /images/belly-dance.jpg
 HTTP  21/8/2026 4:59:07 p. m. ::1 GET /images/fuego.jpg
 HTTP  21/8/2026 4:59:07 p. m. ::1 GET /images/garotas.jpg
 HTTP  21/8/2026 4:59:07 p. m. ::1 GET /images/gogo.jpg
 HTTP  21/8/2026 4:59:07 p. m. ::1 Returned 304 in 1 ms
 HTTP  21/8/2026 4:59:07 p. m. ::1 Returned 304 in 1 ms
 HTTP  21/8/2026 4:59:07 p. m. ::1 Returned 304 in 2 ms
 HTTP  21/8/2026 4:59:07 p. m. ::1 GET /images/salsa.jpg
 HTTP  21/8/2026 4:59:07 p. m. ::1 GET /images/zancos-robot.jpg
 HTTP  21/8/2026 4:59:07 p. m. ::1 Returned 304 in 2 ms
 HTTP  21/8/2026 4:59:07 p. m. ::1 Returned 304 in 2 ms
 HTTP  21/8/2026 4:59:07 p. m. ::1 Returned 304 in 2 ms
